ID,Ref.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
427,[67],Fe70W2Y6B22,3,1231.19,1623.25,300,none,28374.1,20.70961293,-25887.3,-0.829825665,0.56958,WB_ALPHA_BG,11.066,M2B_C16,0.12054,0.213999595,6.56,1.8502,0.192971397,0.7,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
428,[67],Fe69W3Y6B22,4,1235.81,1701.16,300,none,31566.3,22.43402602,-25915.6,-0.863143421,0.75467,WB_ALPHA_BG,11.391,M2B_C16,0.12075,0.214827832,6.54,1.8555,0.199511278,0.69,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
429,[67],Fe68W4Y6B22,4,1240.29,1767.83,300,none,34392.4,23.87140498,-25940.1,-0.892918264,0.88032,WB_ALPHA_BG,11.504,M2B_C16,0.12096,0.215632556,6.52,1.8608,0.205706976,0.68,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0
430,[67],Fe67W5Y6B22,3,1244.61,1826.68,300,none,36960.2,25.11106492,-25960.9,-0.920019327,0.97334,WB_ALPHA_BG,11.61,M2B_C16,0.12117,0.216414226,6.5,1.8661,0.211588728,0.67,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
431,[67],Fe66W6Y6B22,2,1248.73,1891.79,300,none,39794.4,26.44879419,-25978,-0.94495758,1.0458,WB_ALPHA_BG,11.711,M2B_C16,0.12138,0.217173284,6.48,1.8714,0.217182043,0.66,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
432,[68],Fe73Nb4Hf3B20,2,1432.76,2596.66,300,none,66889.4,35.43355684,-24451.1,-0.785578196,2.6595,MB2_C32,24.256,MB2_C32,0.11989,0.185165587,6.76,1.8469,0.138120925,0.73,0,0.2,0,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
433,[68],Fe72Nb4Hf3Y1B20,3,1369.61,2589.68,300,none,68520.1,36.80422109,-24837.9,-0.838413982,2.8984,MB2_C32,24.112,MB2_C32,0.12041,0.190837365,6.71,1.8408,0.15154986,0.72,0,0.2,0,0.04,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
434,[68],Fe71Nb4Hf3Y2B20,4,1330.72,2582.78,300,none,69331.6,37.5979945,-25198,-0.877247932,3.0464,MB2_C32,23.991,MB2_C32,0.12093,0.196154671,6.66,1.8347,0.16365485,0.71,0,0.2,0,0.04,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
435,[68],Fe70Nb4Hf3Y3B20,3.5,1304.44,2575.98,300,none,69739,38.0826008,-25531.9,-0.91070855,3.1433,MB2_C32,23.88,MB2_C32,0.12145,0.201149805,6.61,1.8286,0.174711305,0.7,0,0.2,0,0.04,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
436,[69],(Fe0.7Co0.3)71Nb4Hf3Y2B20,6,1127.22,2274.74,300,none,64446.348,41.10045634,-28867.5,-1.310961586,3.385,MB2_C32,21.72,MB2_C32,0.12093,0.196154671,6.873,1.84535,0.164626479,0.497,0.213,0.2,0,0.04,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
437,[69],(Fe0.6Co0.4)71Nb4Hf1Y4B20,7,1035.26,1959.98,300,none,52031.776,38.01776115,-29264.5,-1.346455753,3.1479,MB2_C32,19.881,MB2_C32,0.12119,0.200420551,6.924,1.8473,0.170410416,0.426,0.284,0.2,0,0.04,0,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
438,[70],Fe68Dy6B22Nb4,3,1418.9726,1781.215,300,none,19250.946,12.11897947,-24566.8368,-0.892918264,0.74064,M3B4_D7B,13.434,M3B4_D7B,0.12066,0.211807475,6.48,1.8304,0.184780518,0.68,0,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
439,[70],(Fe0.9Co0.1)68Dy6B22Nb4,4,1331.8326,1766.655,300,none,31421.446,21.23563883,-25709.0368,-1.113974686,0.92772,M3B4_D7B,13.11,M3B4_D7B,0.12066,0.211807475,6.548,1.8338,0.185201404,0.612,0.068,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
440,[70],(Fe0.8Co0.2)68Dy6B22Nb4,4,1272.2926,1744.095,300,none,31970.746,22.28037198,-26737.9368,-1.233191912,1.0352,M3B4_D7B,12.72,M3B4_D7B,0.12066,0.211807475,6.616,1.8372,0.185559047,0.544,0.136,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
441,[70],(Fe0.7Co0.3)68Dy6B22Nb4,3,1230.7826,1712.545,300,none,31614.046,22.67907646,-27641.6368,-1.30830599,1.0751,M3B4_D7B,12.256,M3B4_D7B,0.12066,0.211807475,6.684,1.8406,0.185853814,0.476,0.204,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
